PUBLICATION DATE,FISCAL YEAR,ACTUAL\FORECAST,SOURCE,AMOUNT
20210426,2016,ACTUAL,City Tax Levy,345.3
20210426,2016,ACTUAL,Tuition,401.7
20210426,2016,ACTUAL,"State, Federal, Other Funds",236.1
20210426,2017,ACTUAL,City Tax Levy,425.7
20210426,2017,ACTUAL,Tuition,404.8
20210426,2017,ACTUAL,"State, Federal, Other Funds",247.4
20210426,2018,ACTUAL,City Tax Levy,460
20210426,2018,ACTUAL,Tuition,387.2
20210426,2018,ACTUAL,"State, Federal, Other Funds",253.1
20210426,2019,ACTUAL,City Tax Levy,487.8
20210426,2019,ACTUAL,Tuition,379
20210426,2019,ACTUAL,"State, Federal, Other Funds",261.6
20210426,2020,ACTUAL,City Tax Levy,513.6
20210426,2020,ACTUAL,Tuition,365.5
20210426,2020,ACTUAL,"State, Federal, Other Funds",244.7
20210426,2021,FORECAST,City Tax Levy,520
20210426,2021,FORECAST,Tuition,357.7
20210426,2021,FORECAST,"State, Federal, Other Funds",285.7
20210426,2022,FORECAST,City Tax Levy,497.4
20210426,2022,FORECAST,Tuition,414.3
20210426,2022,FORECAST,"State, Federal, Other Funds",246.3
20220426,2021,ACTUAL,City Tax Levy,509
20220426,2021,ACTUAL,Tuition,304.1
20220426,2021,ACTUAL,State and Federal Funds,260.5
20220426,2022,FORECAST,City Tax Levy,554.7
20220426,2022,FORECAST,Tuition,314.3
20220426,2022,FORECAST,State and Federal Funds,411.7
20220426,2023,FORECAST,City Tax Levy,613.9
20220426,2023,FORECAST,Tuition,414.3
20220426,2023,FORECAST,State and Federal Funds,316.4
20230426,2022,ACTUAL,City Tax Levy,537
20230426,2022,ACTUAL,Tuition,237.4
20230426,2022,ACTUAL,State and Federal Funds,347.6
20230426,2023,FORECAST,City Tax Levy,646.5
20230426,2023,FORECAST,Tuition,273.7
20230426,2023,FORECAST,State and Federal Funds,317
20230426,2024,FORECAST,City Tax Levy,605
20230426,2024,FORECAST,Tuition,414.3
20230426,2024,FORECAST,State and Federal Funds,240.6
20240424,2023,ACTUAL,City Tax Levy,609.8
20240424,2023,ACTUAL,Tuition,210.3
20240424,2023,ACTUAL,State and Federal Funds,320.7
20240424,2024,FORECAST,City Tax Levy,615
20240424,2024,FORECAST,Tuition,285.9
20240424,2024,FORECAST,State and Federal Funds,348.3
20240424,2025,FORECAST,City Tax Levy,582.5
20240424,2025,FORECAST,Tuition,414.3
20240424,2025,FORECAST,State and Federal Funds,235.8
20250501,2024,ACTUAL,City Tax Levy,566.4
20250501,2024,ACTUAL,Tuition,214.7
20250501,2024,ACTUAL,State and Federal Funds,368.8
20250501,2025,FORECAST,City Tax Levy,720.2
20250501,2025,FORECAST,Tuition,315.3
20250501,2025,FORECAST,State and Federal Funds,243
20250501,2026,FORECAST,City Tax Levy,783.2
20250501,2026,FORECAST,Tuition,415.3
20250501,2026,FORECAST,State and Federal Funds,243
20260512,2025,ACTUAL,City Tax Levy,719.9
20260512,2025,ACTUAL,Tuition,287.7
20260512,2025,ACTUAL,State and Federal Funds,269.8
20260512,2026,FORECAST,City Tax Levy,838.5
20260512,2026,FORECAST,Tuition,340.3
20260512,2026,FORECAST,State and Federal Funds,267.1
20260512,2027,FORECAST,City Tax Levy,807.3
20260512,2027,FORECAST,Tuition,415.3
20260512,2027,FORECAST,State and Federal Funds,267.1
